quadrat,lon,lat,n_scenes,sun_zen_min,sun_zen_max,sun_az_min,sun_az_max,view_zen_max,best_date,best_date_lit_frac,top3_dates,top3_lit_frac,ever_flat_roofs,ever_shallow_south,ever_textbook_south,ever_steep_south,ever_any_orientation,ever_baseline_tol6
faisalabad,73.0524,31.4976,159,17.0,57.2,113.3,164.3,3.0,2024-10-21,0.0153,2024-10-21;2024-10-31;2024-10-26,0.015;0.015;0.015,0.1007,0.1427,0.1323,0.091,0.0757,0.2133
hasal,72.5513,29.7161,198,16.6,55.6,107.4,163.6,3.1,2024-10-31,0.0153,2024-10-31;2025-10-31;2025-10-31,0.015;0.015;0.015,0.0973,0.1397,0.1267,0.0763,0.0753,0.2037
islamabad_east,73.0157,33.6784,161,18.2,59.4,119.0,164.5,2.7,2024-10-01,0.0147,2024-10-01;2024-09-26;2025-09-26,0.015;0.014;0.014,0.0543,0.0823,0.1137,0.0947,0.071,0.18
islamabad_north,73.0058,33.6917,161,18.2,59.4,119.0,164.5,2.7,2024-10-01,0.0147,2024-10-01;2024-09-26;2025-09-26,0.015;0.014;0.014,0.0543,0.0823,0.1137,0.0947,0.071,0.18
islamabad_northeast,73.0331,33.6871,161,18.2,59.3,119.1,164.6,2.4,2024-10-06,0.0147,2024-10-06;2025-10-01;2025-10-06,0.015;0.015;0.015,0.057,0.084,0.1123,0.0903,0.071,0.1783
islamabad_south,72.9982,33.6693,170,18.2,59.3,118.9,164.5,3.0,2024-10-01,0.0147,2024-10-01;2025-10-01;2025-09-26,0.015;0.014;0.014,0.0547,0.0853,0.1133,0.096,0.0703,0.1813
islamabad_west,72.9881,33.6826,170,18.2,59.4,118.9,164.5,3.1,2024-10-01,0.0147,2024-10-01;2025-10-01;2025-10-01,0.015;0.014;0.014,0.0547,0.0827,0.115,0.097,0.072,0.182
karachi_coast,67.0441,24.7958,320,15.6,51.9,90.0,162.1,11.2,2025-10-29,0.0167,2025-10-29;2024-10-27;2025-01-30,0.017;0.016;0.016,0.2167,0.2547,0.1733,0.0933,0.1427,0.3017
khairpur_rural,68.48,26.995,206,17.0,53.5,97.5,161.3,4.1,2025-10-16,0.013,2025-10-16;2025-10-16;2024-10-19,0.013;0.013;0.012,0.05,0.0707,0.0797,0.0563,0.065,0.137
lahore,74.4085,31.4606,156,17.9,57.5,111.4,163.0,6.1,2024-10-08,0.0103,2024-10-08;2024-10-03;2025-10-03,0.010;0.010;0.010,0.0367,0.0603,0.0747,0.068,0.0647,0.1357
malok,71.5326,29.8508,237,17.5,56.1,106.4,162.4,5.7,2024-10-16,0.0107,2024-10-16;2025-10-16;2025-10-16,0.011;0.011;0.011,0.0387,0.0627,0.067,0.0517,0.0643,0.1243
mardan,72.0254,34.1894,395,17.4,60.1,118.5,166.2,10.7,2024-10-09,0.016,2024-10-09;2025-10-09;2025-10-14,0.016;0.016;0.016,0.206,0.2793,0.22,0.1903,0.1437,0.385
multan,71.3816,30.1259,314,15.8,56.4,107.1,165.1,11.9,2024-11-03,0.0177,2024-11-03;2026-02-06;2025-11-03,0.018;0.017;0.017,0.2893,0.317,0.2193,0.144,0.159,0.389
muzaffargarh_rural,71.0549,30.5912,404,16.2,56.9,108.0,164.8,10.9,2025-02-16,0.0163,2025-02-16;2026-01-04;2025-10-16,0.016;0.016;0.016,0.2153,0.2753,0.2077,0.16,0.1443,0.3617
muzaffargarh_rural_wide,71.127,30.573,344,16.1,56.9,108.0,164.9,10.0,2025-10-24,0.017,2025-10-24;2025-10-16;2024-10-14,0.017;0.017;0.016,0.2203,0.2793,0.208,0.1583,0.142,0.3633
peshawar,71.5506,34.02,158,17.7,59.4,121.6,165.7,5.0,2024-10-09,0.017,2024-10-09;2025-10-09;2025-03-08,0.017;0.017;0.017,0.1257,0.1823,0.1567,0.128,0.076,0.259
peshawar_west,71.4266,33.9889,158,17.7,59.4,121.4,165.6,4.3,2025-10-09,0.0167,2025-10-09;2024-11-18;2025-10-16,0.017;0.016;0.016,0.1177,0.174,0.1523,0.126,0.076,0.253
quetta,67.0153,30.1915,162,17.2,56.2,108.1,163.0,2.5,2025-10-09,0.0157,2025-10-09;2024-10-07;2025-10-07,0.016;0.014;0.014,0.056,0.083,0.1033,0.0773,0.0683,0.167
rahim_yar_khan,70.2787,28.4263,317,15.9,55.1,101.1,163.6,11.9,2025-10-29,0.0183,2025-10-29;2024-10-29;2025-02-11,0.018;0.018;0.016,0.1813,0.2383,0.1763,0.105,0.1337,0.303
sialkot,74.5422,32.5039,530,16.4,58.5,114.3,166.1,11.5,2026-02-13,0.018,2026-02-13;2026-02-13;2024-10-26,0.018;0.018;0.017,0.2807,0.3177,0.2363,0.1777,0.1533,0.413
site_karachi,66.9987,24.9092,320,15.6,52.0,90.2,162.0,11.4,2024-10-27,0.0167,2024-10-27;2025-10-27;2025-11-06,0.017;0.016;0.016,0.2123,0.2497,0.171,0.094,0.142,0.299
sukkur,68.8352,27.7118,161,16.9,54.1,100.0,161.8,2.9,2024-10-14,0.0157,2024-10-14;2025-10-14;2025-10-16,0.016;0.015;0.015,0.056,0.0767,0.0927,0.065,0.0663,0.1517
sundar,74.1706,31.2929,311,16.1,57.4,110.6,165.6,11.5,2025-10-31,0.0177,2025-10-31;2024-10-31;2026-02-08,0.018;0.017;0.017,0.2753,0.3177,0.2253,0.1543,0.154,0.3967
