roof_lo,roof_hi,n,roof_med,pv_q25,pv_med,pv_q75,cov_q25,cov_med,cov_q75
10,19,260,15.0,3.2,8.2,14.3,0.231,0.539,0.999
19,34,738,26.7,5.7,13.2,23.9,0.205,0.515,0.892
34,63,1457,48.8,10.5,20.7,34.4,0.215,0.420,0.734
63,117,2763,91.9,17.5,29.9,51.2,0.192,0.330,0.563
117,217,4386,166.9,27.9,50.1,80.2,0.176,0.305,0.477
217,403,5414,272.1,49.3,75.0,113.0,0.175,0.274,0.408
403,745,1335,484.6,73.5,127.3,235.6,0.149,0.262,0.469
745,1380,383,969.9,201.8,431.1,711.1,0.205,0.437,0.726
1380,2554,239,1819.8,483.6,1036.8,1451.2,0.246,0.571,0.794
2554,4728,87,3370.8,958.7,1570.9,2640.5,0.265,0.522,0.819
4728,8753,28,5790.8,1772.7,3617.0,4740.5,0.264,0.620,0.885
