quadrat,auc_b,ws_b,rate_b,base_rate_b,auc_v,ws_v,rate_v,base_rate_v
attock_periurban,0.8026742630063664,0.6989747047546014,0.05811392095588118,0.015646828723107013,0.7744160820729087,0.6694087827778393,0.05906434432018547,0.015646828723107013
bahawalnagar_rural,0.8717900656044986,0.8510385717667637,0.037743459125950125,0.02217741935483871,0.8528584817244611,0.8423311033935157,0.03891726952605155,0.02217741935483871
faisalabad,0.849381143065162,0.8297109147752618,0.2603794467135426,0.13268608414239483,0.8618549781579905,0.8424727611500967,0.23410526426545433,0.13268608414239483
hasal,0.8128086940031185,0.7810866845006932,0.04943020985328322,0.11146642302421197,0.7905995827889923,0.747771518699496,0.049906495823668816,0.11146642302421197
islamabad_east,0.8342650934335629,0.8018544026729812,0.20945240465823137,0.22314990512333965,0.825153950197568,0.7896125053283903,0.21270008704307927,0.22314990512333965
islamabad_north,0.8943698798012356,0.8321120289504264,0.26977762036653175,0.21841541755888652,0.8910337765243084,0.8392995735386976,0.2765910997743954,0.21841541755888652
islamabad_northeast,0.8574235518753803,0.8374746888007489,0.19867282581205783,0.18730325288562436,0.8415499332219797,0.8083085091413261,0.21766117919366648,0.18730325288562436
islamabad_south,0.8748012616170266,0.8402845636282732,0.15241552205564013,0.16840536512667661,0.8579233672724966,0.8149753661790247,0.15197109163147005,0.16840536512667661
islamabad_west,0.8999740124740124,0.836812373240009,0.2643604101212268,0.272608125819135,0.9023756063756063,0.8429529992527816,0.2533576529633216,0.272608125819135
karachi_coast,0.914655452989175,0.8969910976199421,0.17553379751763448,0.18150087260034903,0.9091840121166147,0.8921492524782406,0.17422855115078667,0.18150087260034903
khairpur_rural,0.49642857142857144,0.4338375627341486,0.025188479164317164,0.0070921985815602835,0.4558035714285714,0.34583303880681415,0.031988088628676685,0.0070921985815602835
lahore,0.8869668914897278,0.7739195971506203,0.2037332951290015,0.2644444444444444,0.8795718488805391,0.7636980041718036,0.2007156880809743,0.2644444444444444
layyah_periurban,0.7927357937902754,0.7710479916288642,0.022410157725108834,0.025684931506849314,0.752548330404218,0.7464910939008828,0.03169191913802524,0.025684931506849314
lodhran_periurban,0.8160100872410033,0.6147284557404429,0.027718039102177242,0.03371970495258166,0.8372410032715376,0.6647539376748576,0.03238458400606809,0.03371970495258166
malok,0.841819218721627,0.7917735280948991,0.05225943544474724,0.06518417925649296,0.8117873653229224,0.7389194399990141,0.057133642483576955,0.06518417925649296
mardan,0.7647492581651237,0.6859675951375034,0.08716606618737102,0.16017680488318248,0.7587062268022223,0.671566669615722,0.09133638215241063,0.16017680488318248
multan,0.9245370634027099,0.9052077075955526,0.16497869328075743,0.08540508920737058,0.9361515479408247,0.9249451438669481,0.15577241938560743,0.08540508920737058
muzaffargarh_rural,0.8817798841495524,0.848607985654383,0.023311433487327914,0.009389671361502348,0.863349131121643,0.6565789088797052,0.022760096885539146,0.009389671361502348
muzaffargarh_rural_wide,0.9359504132231405,0.8776191094993655,0.02659222479017471,0.009900990099009901,0.9371900826446281,0.8943364917108557,0.02868140688493286,0.009900990099009901
nasirabad_rural,,,0.026171347573198764,0.0,,,0.02796345418620656,0.0
peshawar,0.910801817386171,0.8206139890397154,0.18506944257489497,0.18871503082029398,0.9053997365695964,0.8149308601815539,0.1642484871858721,0.18853623874940786
peshawar_west,0.8869038438049525,0.8613314457733896,0.14349895132196094,0.11175861175861176,0.8850568401726078,0.8550696458194421,0.1399109997672131,0.11175861175861176
quetta,0.8349070397389725,0.8199016060514814,0.14510134122627255,0.049448459490300495,0.8230584541508911,0.796200148272445,0.17002871594363939,0.049448459490300495
rahim_yar_khan,0.8370569643418463,0.7561440599219843,0.04595797461927191,0.14007922218221103,0.821889815400912,0.7310337393849248,0.05079411179032081,0.14007922218221103
sanghar,0.7750455207666698,0.6991160096116628,0.07141086363380938,0.04604380867232901,0.8154117556158691,0.758784461971411,0.057542414287359345,0.04607025900565644
sialkot,0.8194557940771359,0.7753455651137373,0.14301276382918315,0.10417163289630513,0.806777241953072,0.758602102112362,0.12763831000194706,0.10384980988593157
site_karachi,0.9339836251447676,0.9159231501209196,0.17091385274689555,0.12672292545710268,0.9465876840195993,0.936396760308445,0.17658691251066158,0.12672292545710268
sukkur,0.7784135632880959,0.7102586779710595,0.09008350919180025,0.16934689858877586,0.7829466931800091,0.7188571043939563,0.09032859422655694,0.16929133858267717
sundar,0.913511316743779,0.8937772102338185,0.20780882165430234,0.09162848812994585,0.9203618023425452,0.9078932863944262,0.20834776632281218,0.09162848812994585
tank_rural,0.8976744186046511,0.9013833250378932,0.01364890004332231,0.044444444444444446,0.7753488372093024,0.7722296988567326,0.016490327399982612,0.044444444444444446
