quadrat,n_base,n_pv_base,auc_base,auc_ws_base,n_var,n_pv_var,auc_var,auc_ws_var
attock_periurban,3579,56,0.8026641255423543,0.6989747047546014,3579,56,0.8143627590122056,0.7027827454472428
bahawalnagar_rural,496,11,0.8717900656044986,0.8510385717667637,496,11,0.8656044985941893,0.8377960687464516
faisalabad,1236,164,0.849420959228249,0.8298660790360562,1236,164,0.8544719239170003,0.8397416044239104
hasal,4378,488,0.8128318723924312,0.7810793288780876,4378,488,0.8154052003877112,0.7876256498958255
islamabad_east,5270,1176,0.8342675858814459,0.8018689252506197,5270,1176,0.8327901873988481,0.8002127832063878
islamabad_north,3736,816,0.8943883460918614,0.8321821732243794,3736,816,0.8937147461724416,0.8321646523739566
islamabad_northeast,5718,1071,0.8574585131376989,0.8375379793940664,5718,1071,0.8574440464084637,0.8378356044138687
islamabad_south,5368,904,0.8747960577441558,0.8402749577437721,5368,904,0.8763250051543122,0.8447179735797231
islamabad_west,3815,1040,0.899975051975052,0.8368047312624411,3815,1040,0.9015793485793486,0.8423710995875613
karachi_coast,4584,832,0.9146551326472036,0.8969841031488925,4584,832,0.9141890350787273,0.8962870828091708
khairpur_rural,564,4,0.49642857142857144,0.4338375627341486,564,4,0.459375,0.3937466129450296
lahore,13500,3570,0.8869608266267232,0.773899698713156,13500,3570,0.8878883557451178,0.7765773518988343
layyah_periurban,584,15,0.7923842999414177,0.7697208108676302,584,15,0.7577035735207968,0.7141135452969206
lodhran_periurban,949,32,0.8160100872410033,0.6147284557404429,949,32,0.8230302617230099,0.6188659849921793
malok,5891,384,0.84185137476545,0.7917916936108733,5891,384,0.842912051328612,0.7961573107577794
mardan,4751,761,0.7647449767651718,0.6859684539736518,4751,761,0.7415210167336871,0.6657864668141305
multan,3419,292,0.9245304922657718,0.9051862540731995,3419,292,0.9340674023419532,0.9200986534675047
muzaffargarh_rural,639,6,0.8815165876777251,0.848607985654383,639,6,0.8854660347551343,0.8623963805404844
muzaffargarh_rural_wide,1111,11,0.9359504132231405,0.8776191094993655,1111,11,0.9430578512396695,0.8964776768437488
nasirabad_rural,189,0,,,189,0,,
peshawar,2109,398,0.9107974119575082,0.8205973698747557,2109,398,0.9169488588471287,0.834307714126425
peshawar_west,7722,863,0.8869046884970005,0.861324854399884,7722,863,0.8911440289479343,0.8673729196712222
quetta,5258,260,0.8348993443531258,0.8199180664988033,5258,260,0.8426070428171268,0.8234782162699193
rahim_yar_khan,5554,778,0.8370494288064142,0.7561433621312293,5554,778,0.8393773710023984,0.7641626167748208
sanghar,13422,618,0.7750017945443829,0.6990197003634078,13422,618,0.7779490177523407,0.704602566441875
sialkot,4195,437,0.8194685814427315,0.7753571183813203,4195,437,0.8192323196402975,0.7744749357042101
site_karachi,7110,901,0.9339879152188412,0.9159082177833578,7110,901,0.9362149999222424,0.9182823957399333
sukkur,6094,1032,0.7784304086689393,0.7102632365063534,6094,1032,0.7752018382904695,0.7065850252485357
sundar,2401,220,0.9135175690884082,0.8937698743992141,2401,220,0.9205973073235797,0.9082771755885922
tank_rural,225,10,0.8972093023255814,0.9002193459327377,225,10,0.9032558139534884,0.9231674460084974
