quadrat,n_base,n_pv_base,auc_base,auc_ws_base,n_var,n_pv_var,auc_var,auc_ws_var
attock_periurban,3579,56,0.8026641255423543,0.6989747047546014,3579,56,0.7741727829366206,0.6659506018463915
bahawalnagar_rural,496,11,0.8717900656044986,0.8510385717667637,496,11,0.8228678537956888,0.6598000117576542
faisalabad,1236,164,0.849420959228249,0.8298660790360562,1236,164,0.8244164088096105,0.7927577096295237
hasal,4378,488,0.8128318723924312,0.7810793288780876,4378,488,0.7782844831219183,0.7334730087217417
islamabad_east,5270,1176,0.8342675858814459,0.8018689252506197,5270,1176,0.8172798919274598,0.7867858486816903
islamabad_north,3736,816,0.8943883460918614,0.8321821732243794,3736,816,0.885363785925329,0.8307379454448938
islamabad_northeast,5718,1071,0.8574585131376989,0.8375379793940664,5718,1071,0.8217747180645445,0.7986511916070944
islamabad_south,5368,904,0.8747960577441558,0.8402749577437721,5368,904,0.849439567672154,0.8016666208265371
islamabad_west,3815,1040,0.899975051975052,0.8368047312624411,3815,1040,0.8970942480942481,0.8270377242946639
karachi_coast,4584,832,0.9146551326472036,0.8969841031488925,4584,832,0.8999982060849598,0.8867048077081455
khairpur_rural,564,4,0.49642857142857144,0.4338375627341486,564,4,0.5986607142857143,0.6670629387106378
lahore,13500,3570,0.8869608266267232,0.773899698713156,13500,3570,0.8775058180371846,0.7464058949889896
layyah_periurban,584,15,0.7923842999414177,0.7697208108676302,584,15,0.6558875219683655,0.5592031841563482
lodhran_periurban,949,32,0.8160100872410033,0.6147284557404429,949,32,0.76342693565976,0.49778594145538213
malok,5891,384,0.84185137476545,0.7917916936108733,5891,384,0.8076189017008656,0.7338811875784664
mardan,4751,761,0.7647449767651718,0.6859684539736518,4751,761,0.7513777874383726,0.6595403731147103
multan,3419,292,0.9245304922657718,0.9051862540731995,3419,292,0.9054906229875893,0.8663537058851829
muzaffargarh_rural,639,6,0.8815165876777251,0.848607985654383,639,6,0.916535018430753,0.8794500571921091
muzaffargarh_rural_wide,1111,11,0.9359504132231405,0.8776191094993655,1111,11,0.8960330578512397,0.7966675228495397
nasirabad_rural,189,0,,,189,0,,
peshawar,2109,398,0.9107974119575082,0.8205973698747557,2109,398,0.8927219381536555,0.7883216845819286
peshawar_west,7722,863,0.8869046884970005,0.861324854399884,7722,863,0.8614407709538111,0.8295938373180011
quetta,5258,260,0.8348993443531258,0.8199180664988033,5258,260,0.8223858774278943,0.7983921823711347
rahim_yar_khan,5554,778,0.8370494288064142,0.7561433621312293,5554,778,0.814807219473546,0.7157357138854675
sanghar,13422,618,0.7750017945443829,0.6990197003634078,13422,618,0.772354209697819,0.6982707261239289
sialkot,4195,437,0.8194685814427315,0.7753571183813203,4195,437,0.7897373475106653,0.7365238571598407
site_karachi,7110,901,0.9339879152188412,0.9159082177833578,7110,901,0.9134434654932361,0.8898765974458407
sukkur,6094,1032,0.7784304086689393,0.7102632365063534,6094,1032,0.7705877353376274,0.6924650248820445
sundar,2401,220,0.9135175690884082,0.8937698743992141,2401,220,0.8804655912633904,0.830464430384141
tank_rural,225,10,0.8972093023255814,0.9002193459327377,225,10,0.8976744186046511,0.8799032359733235
