quadrat,date,season,dprime,pv_mean,roof_mean,n_pv_px
site_karachi_calib_4p14km2,2026-05-02,summer,-1.2913103913470314,2875.820789409169,3655.765644887569,4079
site_karachi_calib_4p14km2,2026-05-05,summer,0.1841188907438991,3563.186075018387,3258.463764849385,4079
site_karachi_calib_4p14km2,2026-05-12,summer,-1.3046145617655294,2982.1132630546704,3520.756854582096,4079
site_karachi_calib_4p14km2,2026-05-17,summer,-1.2961824827195196,2959.922468742339,3667.3106968604156,4079
site_karachi_calib_4p14km2,2026-05-20,summer,-0.08660085652742358,3226.929088011768,3313.2335198345354,4079
site_karachi_calib_4p14km2,2026-05-22,summer,-1.154792237397753,3149.4972869242984,3794.200015101178,3778
site_karachi_calib_4p14km2,2026-06-11,summer,-1.2709830777966913,3093.4257170875217,3665.283265273653,4079
lahore_calib_6p61km2,2026-05-01,summer,-0.555768257675875,2680.085218222364,2833.95721774362,3139
lahore_calib_6p61km2,2026-05-06,summer,-0.5730859842747842,2640.343580758203,2800.7246877741113,3139
lahore_calib_6p61km2,2026-05-16,summer,-0.5196299202054242,2772.2896623128386,2953.6065327262854,3139
lahore_calib_6p61km2,2026-05-18,summer,-0.4581896207364003,2768.787034087289,2884.7062048368907,3139
lahore_calib_6p61km2,2026-05-21,summer,-0.5159497197290788,2865.0190347244347,2998.3638632471493,3139
lahore_calib_6p61km2,2026-05-26,summer,-0.49783230126641487,2882.0413348200063,3048.477736936636,3139
lahore_calib_6p61km2,2026-05-31,summer,-0.44328689708412006,2790.537193373686,2971.560889269454,3139
lahore_calib_6p61km2,2026-06-05,summer,-0.508930265867445,2850.8603058298822,3006.2111649471617,3139
lahore_calib_6p61km2,2026-06-07,summer,-0.48989350329310205,2881.6529945842626,3084.0381876279184,3139
lahore_calib_6p61km2,2026-06-10,summer,-0.4594936922114868,2870.176728257407,2992.473466020634,3139
peshawar_west_calib_4p39km2,2026-05-02,summer,-0.05102920846082278,2838.4092578275995,2901.8391807259713,2587
peshawar_west_calib_4p39km2,2026-05-07,summer,-0.11433199287416838,2789.841805179745,2920.550469708589,2587
peshawar_west_calib_4p39km2,2026-05-12,summer,-0.24089884016638946,2663.0411673753383,2893.554367970348,2587
peshawar_west_calib_4p39km2,2026-05-17,summer,-0.5108477739317723,2651.7862388867416,2952.9411106850716,2587
peshawar_west_calib_4p39km2,2026-05-22,summer,-0.5234277021270552,2680.1698879010437,3056.2320104805726,2587
peshawar_west_calib_4p39km2,2026-05-27,summer,-0.8369447876999676,2647.0559171597633,3124.062947551771,845
peshawar_west_calib_4p39km2,2026-06-03,summer,-0.7906446725579194,2552.450521839969,2999.8328700153374,2587
peshawar_west_calib_4p39km2,2026-06-06,summer,-0.8343851388494112,2605.3889640510242,3075.2745398773004,2587
peshawar_west_calib_4p39km2,2026-06-11,summer,-0.7845058683146355,2699.7884615384614,3106.562180470348,2587
multan_calib_3p92km2,2026-05-04,summer,-1.017931679770698,2762.2970950704225,3177.479679236606,2272
multan_calib_3p92km2,2026-05-09,summer,-1.169317490201104,2534.3224031690143,3183.2757530466774,2272
multan_calib_3p92km2,2026-05-14,summer,0.01194705206276613,3355.375,3337.0544510385757,656
multan_calib_3p92km2,2026-05-19,summer,-1.101428819911059,2686.0371919014083,3372.256955621982,2272
multan_calib_3p92km2,2026-05-24,summer,-1.074138125379834,2763.7004841549297,3337.022361462405,2272
multan_calib_3p92km2,2026-05-27,summer,0.006417703815500504,3466.921398527865,3457.705283434232,951
multan_calib_3p92km2,2026-05-29,summer,-1.1187972711513658,2707.036641725352,3432.192400551851,2272
multan_calib_3p92km2,2026-06-03,summer,-1.121092887372887,2707.3270246478874,3408.3178604276845,2272
multan_calib_3p92km2,2026-06-06,summer,-0.0376699498102945,3211.5633561643835,3238.577608142494,292
multan_calib_3p92km2,2026-06-08,summer,-0.9790344636610473,2767.7765184859154,3333.6629684985055,2272
multan_calib_3p92km2,2026-06-13,summer,-1.1021584539462452,2905.422645246479,3313.6996723384686,2272
sundar_calib_4p34km2,2026-05-01,summer,-0.6884450188305623,2617.0488387978144,3043.431952662722,2196
sundar_calib_4p34km2,2026-05-16,summer,-0.7356567579462866,2669.6238615664847,3147.759530040965,2196
sundar_calib_4p34km2,2026-05-18,summer,-0.6958496785738483,2719.123292349727,3078.5808773327262,2196
sundar_calib_4p34km2,2026-05-19,summer,0.36813665355708725,3702.4553734061933,3022.5853436504326,2196
sundar_calib_4p34km2,2026-05-26,summer,-0.7177430423194313,2727.6442395264116,3070.071062812927,2196
sundar_calib_4p34km2,2026-05-29,summer,0.2793613690857415,3587.682263205829,3024.89013427401,2196
sundar_calib_4p34km2,2026-06-05,summer,-0.7649868595273241,2704.3728369763207,3146.241124260355,2196
sundar_calib_4p34km2,2026-06-07,summer,-0.7514178978543533,2671.852345173042,3213.0927969959034,2196
sundar_calib_4p34km2,2026-06-08,summer,0.22836539877137618,3534.9633424408016,3039.521279016841,2196
sundar_calib_4p34km2,2026-06-10,summer,-0.7352302136799479,2785.996129326047,3181.4610832954027,2196
islamabad_west_calib_2p79km2,2026-05-09,summer,-0.3820763586738292,2800.368379237288,2892.1309876974087,944
islamabad_west_calib_2p79km2,2026-05-14,summer,-0.37676086135199255,2891.5376059322034,3050.028880551435,944
islamabad_west_calib_2p79km2,2026-05-29,summer,-0.41444146434099716,2940.4594809322034,3107.806823139342,944
islamabad_west_calib_2p79km2,2026-06-03,summer,-0.3261860735422992,2957.2857521186443,3117.731284355641,944
islamabad_west_calib_2p79km2,2026-06-08,summer,-0.3543653889892643,2994.2497351694915,3158.3858738329986,944
islamabad_east_calib_2p79km2,2026-05-09,summer,-0.1325874352788813,2738.8886486486485,2768.0949098621422,925
islamabad_east_calib_2p79km2,2026-05-14,summer,-0.09765996818636567,2893.2645945945947,2935.5466330858962,925
islamabad_east_calib_2p79km2,2026-05-29,summer,-0.14864794298103268,2917.0713513513515,2976.4653499469778,925
islamabad_east_calib_2p79km2,2026-06-03,summer,-0.12371830656874969,2934.7664864864864,2992.0042948038176,925
islamabad_east_calib_2p79km2,2026-06-08,summer,-0.1480052897924675,2949.9172972972974,3014.050583244963,925
islamabad_north_calib_2p79km2,2026-05-09,summer,-0.21860279849317546,2765.7223837209303,2817.754829417081,860
islamabad_north_calib_2p79km2,2026-05-14,summer,-0.23908116030962984,2894.607558139535,2990.37319249887,860
islamabad_north_calib_2p79km2,2026-05-29,summer,-0.2556408873173129,2950.927906976744,3058.749604609128,860
islamabad_north_calib_2p79km2,2026-06-03,summer,-0.26939768306202844,2944.4889534883723,3075.685833709896,860
islamabad_north_calib_2p79km2,2026-06-08,summer,-0.2644781578136883,2963.047674418605,3086.6243786714867,860
karachi_coast_calib_2p16km2,2026-05-02,summer,-0.7657781205357203,3561.5800128534706,3988.426552903677,778
karachi_coast_calib_2p16km2,2026-05-05,summer,-0.4187704816635476,3202.2175449871465,3416.272681334059,778
karachi_coast_calib_2p16km2,2026-05-12,summer,-0.7246487400725102,3474.94440874036,3775.4670955453626,778
karachi_coast_calib_2p16km2,2026-05-17,summer,-0.6602236215107657,3632.063303341902,3975.386107439944,778
karachi_coast_calib_2p16km2,2026-05-22,summer,-0.6791777635419454,3656.1102185089976,4004.4596711498093,778
faisalabad_calib_1km,2026-05-04,summer,-0.9141627063346022,2361.5847913862717,2580.9181923671995,743
faisalabad_calib_1km,2026-05-09,summer,-0.9027900413012101,2275.1342530282636,2486.3539840123776,743
faisalabad_calib_1km,2026-05-14,summer,-0.9086501394600639,2395.0037012113057,2575.952294997421,743
faisalabad_calib_1km,2026-05-19,summer,-0.9697197173728235,2372.757065948856,2627.912906137184,743
faisalabad_calib_1km,2026-05-24,summer,-1.0240707390432129,2441.0174966352624,2624.7494198040226,743
faisalabad_calib_1km,2026-05-29,summer,-0.9485819237617031,2343.956594885599,2650.623517276947,743
faisalabad_calib_1km,2026-06-03,summer,-0.9304342935154184,2251.235868102288,2558.9244455905105,743
faisalabad_calib_1km,2026-06-08,summer,-0.9187848163761633,2351.9131897711977,2556.4111010830325,743
faisalabad_calib_1km,2026-06-13,summer,-0.8510978535171453,2215.7984522207266,2528.8304538421867,743
